"survey_year","ParaPos","ParaNeg","total","PosProp","CI_lower","CI_upper"
2012,808,1115,1923,42.0176807072283,39.8115549810062,44.2238064334504
2014,430,1436,1866,23.0439442658092,21.1332110208606,24.9546775107579
2015,545,1477,2022,26.9535113748764,25.0194384589438,28.8875842908089
2017,789,1126,1915,41.201044386423,38.9965418605819,43.405546912264
