"survey_year","n_upsA","CI_lower_upsA","CI_upper_upsA","n_nonupsA","CI_lower_nonupsA","CI_upper_nonupsA","ParaPos","ParaNeg","total","PosProp","CI_lower","CI_upper"
"2012",2218,2173.95545266,2262.04454734,33159,32314.6698832,34003.3301168,685,1115,1800,38.0555555555556,35.8125516326701,40.298559478441
"2014",1503,1448.62307352,1557.37692648,14831,14028.9652984,15633.0347016,301,1436,1737,17.328727691422,15.5487407694907,19.1087146133533
"2015",1673,1623.6893848,1722.3106152,17911,17180.7788544,18641.2211456,413,1477,1890,21.8518518518519,19.9887841430969,23.7149195606068
"2017",2074,2030.5401947,2117.4598053,27349,26642.3112022,28055.6887978,700,1126,1826,38.3351588170865,36.1050650349229,40.5652525992502
